tags	string	versions	US10_off_or_first	known	camel_ids
pct_s	"1: *** mm Error *** ---> '%s' No more slots available.  region %d used %d avail %d"	US10,US11,EU10,EU11,JP10	0x002c7aa8	ids-known(available,region)	
pct_s	"2: *** mm Error *** --->  '%s' region=%d col=%x wantsize=%d largestsize=%d...No suitble block found for allocation."	US10,US11,EU10,EU11,JP10	0x002c7b3d	NEW-ids(largestsize,suitble,wantsize); known:allocation,region	
pct_s	'< %s/animcurv.bin'	US11	US11:0x002c9f2e	ids-known(animcurv)	
pct_s	"<%d's not in %s>"	US10,US11,EU10,EU11,JP10	0x002c6e3c	exact-in-src	
pct_s	'`gametext/Sequences/%d_%s.bin'	US11	US11:0x002c7a47	ids-known(Sequences,gametext)	
pct_s	'DSPInit(): Build Date: %s %s'	US10,US11,EU10,EU11,JP10	0x0032b0c8	exact-in-src	
pct_s	"DVDConvertEntrynumToPath(possibly DVDOpen or DVDChangeDir or DVDOpenDir): specified directory or file (%s) doesn't match standard 8.3 format. This is a temporary restriction and will be removed soon"	US10,US11,EU10,EU11,JP10	0x0032a830	ids-known(DVDChangeDir,DVDConvertEntrynumToPath,DVDOpen,DVDOpenDir)	
pct_s	'FREED OBJECT %s'	US11,EU10,EU11,JP10	US11:0x002c88c4	ids-known(OBJECT)	
pct_s	'G@HALT\t%s'	US10	0x002c9516	-	
pct_s	'G`HALT\t%s'	JP10	JP10:0x002c962e	-	
pct_s	'gametext/%s/%s.bin'	US10,US11,EU10,EU11,JP10	0x002c6e70	exact-in-src	
pct_s	'gametext/Sequences/%d_%s.bin'	EU10,EU11	EU10:0x002c8540	exact-in-src	
pct_s	'HALT\t%s'	US11	US11:0x002ca0d0	-	
pct_s	'IXHALT\t%s'	EU10,EU11	EU10:0x002cabc6	NEW-ids(IXHALT)	
pct_s	'Kernel built : %s %s'	US10,US11,EU10,EU11,JP10	0x00329380	exact-in-src	
pct_s	'LOADED OBJECT %s'	US10,US11,EU10,EU11,JP10	0x002c7c54	ids-known(LOADED,OBJECT)	
