kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
224   all      9456    7    | 224   9456    7                              | 18.0   | 
225   all      11760   7    | 225   11760   7      objects/225_SabreBaddie | 18.0   | 
226   all      2848    8    | 226   2848    8      objects/226_tumbleweedbu| 8.0    | 
227   all      8912    13   | 227   8912    13     objects/227_tumbleweed  | 18.0   | 
228   all      7968    9    | 228   7968    9      objects/228_Caictua     | 8.0    | 
229   all      12720   9    | 229   12720   9                              | 8.0    | 
230   all      4768    7    | 230   4720    7                              | 17.9   | 
231   all      10976   7    | 231   10976   7                              | 18.0   | 
232   all      4720    7    | 232   4720    7      objects/232_VampireBat  | 8.0    | 
233   all      6768    7    | 233   6768    7      objects/233_BigScorpionR| 8.0    | 
234   all      7840    8    | 234   7840    8      objects/234_ScorpionRobo| 8.0    | 
235   all      12416   7    | 235   12416   7                              | 8.0    | 
236   all      4080    7    | 236   4080    7      objects/236_WG_Triffid  | 8.0    | 
237   all      6624    7    | 237   6624    7                              | 8.0    | 
238   all      3520    7    | 238   3520    7                              | 8.0    | 
239   all      3648    7    | 239   3648    7                              | 8.0    | 
240   all      12912   7    | 240   12912   7                              | 18.0   | 
241   all      688     8    | 241   688     8      objects/241_SkeetlaWall | IDENT  | 
242   all      2112    7    | 242   2112    7                              | 8.0    | 
243   all      9712    9    | 243   9712    9      objects/243_Lunaimar    | 8.0    | 
244   all      1904    7    | 244   1904    7                              | 8.0    | 
245   all      4864    7    | 245   4656    7      objects/245_BalloonBaddi| 7.7    | 
246   all      2928    7    | 246   2928    7      objects/246_SwarmBaddie | 8.0    | 
247   all      5152    7    | 247   4656    7                              | 7.2    | 
248   all      2304    7    | 248   4656    7      objects/248_PirahnaBaddi| 4.0    | 
249   all      3344    7    | 249   3344    7                              | 8.0    | 
250   all      2240    7    | 250   4656    7      objects/250_TurtleBaddie| 3.8    | 
251   all      10304   20   | 251   10304   20     objects/251_weapons     | 8.0    | 
252   all      2640    7    | 252   2640    7      objects/252_Cannon      | 8.0    | 
253   all      1072    7    | 253   1072    7      objects/253_CannonBall  | 8.0    | 
254   all      384     7    | 254   384     7      objects/254_PineCone    | 8.0    | 
255   all      3568    7    | 255   3568    7                              | 8.0    | 
256   all      3200    10   | 256   3200    10                             | 8.0    | 
257   all      4864    8    | 257   4864    8      objects/257_tesla       | 8.0    | 
258   all      1792    7    | 258   1792    7      objects/258_Caictua_Thor| 8.0    | 
259   all      1952    7    | 259   1952    7                              | 8.0    | 
260   all      1984    7    | 260   1984    7      objects/260_Pollen      | 8.0    | 
261   all      1136    7    | 261   1136    7      objects/261_PollenFragme| 8.0    | 
262   all      3264    7    | 262   3264    7                              | 8.0    | 
263   all      1680    7    | 263   1680    7                              | 8.0    | 
264   all      1872    7    | 264   1872    7      objects/264_kamerian_fla| 8.0    | 
265   all      1504    7    | 265   1504    7      objects/265_SHvines     | 8.0    | 
266   all      1504    7    | 266   1472    7      objects/266_sfxplayer   | 7.8    | 
267   all      784     8    | 267   784     8      objects/267_checkpoint4 | 8.0    | 
268   all      352     7    | 268   352     7      objects/268_setuppoint  | IDENT  | 
269   all      624     7    | 269   624     7      objects/269_sideload    | 8.0    | 
270   all      224     7    | 270   224     7      objects/270_sidesetup   | IDENT  | 
271   all      1792    7    | 271   1792    7      objects/271_InfoPoint   | 8.0    | 
272   all      6720    14   | 272   6736    14     objects/272_collectable | 8.0    | 
273   all      1456    7    | 273   1456    7      objects/273_EffectBox   | 8.0    | 
274   all      11600   11   | 274   11568   11     objects/274_pushpull    | 12.5   | 
275   all      2592    7    | 275   2592    7      objects/275_WarpPoint   | 8.0    | 
276   all      2816    7    | 276   2816    7                              | 8.0    | 
277   all      880     7    | 277   880     7      objects/277_iceblast    | 8.0    | 
278   all      912     7    | 278   912     7      objects/278_flameblast  | 8.0    | 
279   all      4656    7    | 279   4656    7      objects/279_Door        | 8.0    | 
280   all      3216    10   | 280   3216    10     objects/280_SidekickBall| 8.0    | 
281   all      224     7    | 281   224     7      objects/281_area        | IDENT  | 
282   all      2224    7    | 282   2224    7      objects/282_Crate       | 8.0    | 
283   all      1904    8    | 283   1904    8      objects/283_krazoatext  | 8.0    | 
284   all      1696    7    | 284   1696    7      objects/284_levelname   | 8.0    | 
285   all      1536    7    | 285   1536    7      objects/285_ProjectileSw| 8.0    | 
286   all      1008    7    | 286   1008    7                              | 8.0    | 
287   all      2304    7    | 287   2304    7      objects/287_pressureswit| 28.0   | PRESSURESWITCH.c
288   all      1264    7    | 288   1264    7                              | 8.0    | 
289   all      1408    7    | 289   1408    7      objects/289_CClogpush   | 8.0    | 
290   all      4576    7    | 290   4576    7      objects/290_MagicPlant  | 8.0    | 
291   all      4608    7    | 291   4368    7      objects/291_MagicDust   | 7.6    | 
292   all      704     7    | 292   704     7      objects/292_TrickyWarp  | 8.0    | 
293   all      672     7    | 293   672     7      objects/293_TrickyGuard | 8.0    | 
294   all      2896    7    | 294   2896    7      objects/294_curveFish   | 8.0    | 
295   all      8880    7    | 295   8928    7      objects/295_smallbasket | 8.0    | 
296   all      6176    7    | 296   6176    7      objects/296_medium_crate| 8.0    | 
297   all      6384    7    | 297   6384    7      objects/297_scarab      | 8.0    | 
298   all      4400    7    | 298   4496    7                              | 7.8    | 
299   all      208     7    | 299   208     7      objects/299_EndObject   | IDENT  | 
300   all      2960    8    | 300   2960    8      objects/300_foodbagPlace| 8.0    | 
301   all      1376    7    | 301   1376    7      objects/301_barrel      | 8.0    | 
302   all      1248    7    | 302   1248    7      objects/302_Fall_Ladders| 8.0    | 
303   all      1280    7    | 303   1296    7      objects/303_FireFlyLante| 7.9    | 
304   all      4064    10   | 304   4064    10     objects/304_LanternFireF| 18.0   | 
305   all      1584    7    | 305   1600    7      objects/305_PortalSpellD| 7.9    | 
306   all      3488    7    | 306   3488    7                              | 8.0    | 
307   all      2208    7    | 307   2208    7      objects/307             | 8.0    | 
308   all      1648    7    | 308   1648    7      objects/308_USEOBJ      | 28.0   | USEOBJ.c
309   all      1664    7    | 309   1664    7      objects/309_SEQOBJ      | 28.0   | SEQOBJ.c
310   all      1840    7    | 310   1840    7                              | 18.0   | 
311   all      1344    7    | 311   1344    7      objects/311_IMMultiSeq  | 28.0   | SEQOBJ.c
312   all      1472    7    | 312   1472    7      objects/312_NWMultiSeq  | 8.0    | 
313   all      672     7    | 313   672     7      objects/313_pickobj     | 28.0   | SEQOBJ.c
314   all      3296    17   | 314   3296    17     objects/314_foodbag     | 8.0    | 
315   all      1872    13   | 315   1872    13     objects/315_sidefoodbag | IDENT  | 
316   all      7424    10   | 316   7424    10                             | 18.0   | 
317   all      3280    8    | 317   3280    8                              | 8.0    | 
318   all      9088    7    | 318   9088    7      objects/318_fish        | 8.0    | 
319   all      1600    12   | 319   1600    12     objects/319_fishingnet  | 8.0    | 
320   all      1456    7    | 320   1456    7      objects/320_Crate2      | 8.0    | 
321   all      2432    7    | 321   2432    7      objects/321_Duster      | 8.0    | 
322   all      688     7    | 322   688     7      objects/322_coldWaterCon| 8.0    | 
323   all      320     7    | 323   320     7      objects/323_waterfallCon| 8.0    | 
