path	US10_size
gametext/Sequences/20021_French.bin	4120
gametext/Sequences/20021_German.bin	3244
gametext/Sequences/20021_Italian.bin	3864
gametext/Sequences/20021_Japanese.bin	12700
gametext/Sequences/20021_Spanish.bin	2908
gametext/Sequences/20022_English.bin	3540
gametext/Sequences/20022_French.bin	3108
gametext/Sequences/20022_German.bin	3492
gametext/Sequences/20022_Italian.bin	3128
gametext/Sequences/20022_Japanese.bin	13128
gametext/Sequences/20022_Spanish.bin	3592
gametext/Sequences/20023_English.bin	4916
gametext/Sequences/20023_French.bin	5528
gametext/Sequences/20023_German.bin	5208
gametext/Sequences/20023_Italian.bin	7204
gametext/Sequences/20023_Japanese.bin	24780
gametext/Sequences/20023_Spanish.bin	7244
gametext/Sequences/20024_English.bin	2184
gametext/Sequences/20024_French.bin	3520
gametext/Sequences/20024_German.bin	2336
gametext/Sequences/20024_Italian.bin	2960
gametext/Sequences/20024_Japanese.bin	5196
gametext/Sequences/20024_Spanish.bin	2664
gametext/Sequences/20029_German.bin	2164
gametext/Sequences/20029_Italian.bin	2456
gametext/Sequences/20029_Spanish.bin	1932
gametext/Sequences/20032_German.bin	3868
gametext/Sequences/20032_Italian.bin	2860
gametext/Sequences/20032_Spanish.bin	3916
gametext/Sequences/20033_English.bin	3000
gametext/Sequences/20033_French.bin	4680
gametext/Sequences/20033_German.bin	3464
gametext/Sequences/20033_Italian.bin	3048
gametext/Sequences/20033_Japanese.bin	13052
gametext/Sequences/20033_Spanish.bin	3768
gametext/Sequences/20034_English.bin	3084
gametext/Sequences/20034_French.bin	2712
gametext/Sequences/20034_German.bin	3308
gametext/Sequences/20034_Italian.bin	2884
gametext/Sequences/20034_Japanese.bin	13012
gametext/Sequences/20034_Spanish.bin	2836
gametext/Sequences/20035_English.bin	1320
gametext/Sequences/20035_French.bin	1008
gametext/Sequences/20035_German.bin	1236
gametext/Sequences/20035_Italian.bin	1328
gametext/Sequences/20035_Japanese.bin	4292
gametext/Sequences/20035_Spanish.bin	1544
gametext/Sequences/20036_English.bin	2916
gametext/Sequences/20036_French.bin	2716
gametext/Sequences/20036_German.bin	3004
gametext/Sequences/20036_Italian.bin	3064
gametext/Sequences/20036_Japanese.bin	5992
gametext/Sequences/20036_Spanish.bin	4732
gametext/Sequences/20037_English.bin	1152
gametext/Sequences/20037_Japanese.bin	2408
gametext/Sequences/20038_English.bin	1968
gametext/Sequences/20038_Japanese.bin	4584
gametext/Sequences/20100_German.bin	6384
gametext/Sequences/20100_Italian.bin	4772
gametext/Sequences/20100_Spanish.bin	5516
gametext/Sequences/20105_German.bin	3532
gametext/Sequences/20105_Italian.bin	3012
gametext/Sequences/20105_Spanish.bin	3200
gametext/Sequences/20107_German.bin	12148
gametext/Sequences/20107_Italian.bin	5064
gametext/Sequences/20107_Spanish.bin	7856
gametext/Sequences/20108_German.bin	3396
gametext/Sequences/20108_Italian.bin	3120
gametext/Sequences/20108_Spanish.bin	2960
gametext/Sequences/20139_German.bin	6068
gametext/Sequences/20139_Italian.bin	4208
gametext/Sequences/20139_Spanish.bin	5912
gametext/Sequences/20140_English.bin	1840
gametext/Sequences/20140_French.bin	1908
gametext/Sequences/20140_German.bin	2232
gametext/Sequences/20140_Italian.bin	1920
gametext/Sequences/20140_Japanese.bin	3760
gametext/Sequences/20140_Spanish.bin	1844
gametext/Sequences/20150_English.bin	4840
gametext/Sequences/20150_French.bin	6956
gametext/Sequences/20150_German.bin	7640
gametext/Sequences/20150_Italian.bin	4608
gametext/Sequences/20150_Japanese.bin	25296
gametext/Sequences/20150_Spanish.bin	6944
gametext/Sequences/20201_French.bin	1932
gametext/Sequences/20201_German.bin	1204
gametext/Sequences/20201_Italian.bin	1220
gametext/Sequences/20201_Japanese.bin	2820
gametext/Sequences/20201_Spanish.bin	1396
gametext/Sequences/20202_French.bin	1792
gametext/Sequences/20202_German.bin	2668
gametext/Sequences/20202_Italian.bin	1768
gametext/Sequences/20202_Japanese.bin	4068
gametext/Sequences/20202_Spanish.bin	1860
gametext/Sequences/20203_French.bin	6436
gametext/Sequences/20203_German.bin	7392
gametext/Sequences/20203_Italian.bin	4388
gametext/Sequences/20203_Japanese.bin	20436
gametext/Sequences/20203_Spanish.bin	5760
gametext/Sequences/20210_German.bin	7572
gametext/Sequences/20210_Italian.bin	5008
gametext/Sequences/20210_Spanish.bin	4868
gametext/Sequences/20213_German.bin	12224
gametext/Sequences/20213_Italian.bin	7900
gametext/Sequences/20213_Spanish.bin	8008
gametext/Sequences/20234_German.bin	7148
gametext/Sequences/20234_Italian.bin	6408
gametext/Sequences/20234_Spanish.bin	7292
gametext/Sequences/20277_French.bin	2364
gametext/Sequences/20277_German.bin	1648
gametext/Sequences/20277_Italian.bin	1700
gametext/Sequences/20277_Japanese.bin	3348
gametext/Sequences/20277_Spanish.bin	1740
gametext/Sequences/20280_French.bin	2080
gametext/Sequences/20280_German.bin	2168
gametext/Sequences/20280_Italian.bin	1912
gametext/Sequences/20280_Japanese.bin	5336
gametext/Sequences/20280_Spanish.bin	2792
gametext/Sequences/20286_German.bin	12828
gametext/Sequences/20286_Italian.bin	8180
gametext/Sequences/20286_Spanish.bin	10680
gametext/Sequences/202_English.bin	4948
gametext/Sequences/202_French.bin	11992
gametext/Sequences/202_German.bin	5812
gametext/Sequences/202_Italian.bin	5840
gametext/Sequences/202_Japanese.bin	24748
gametext/Sequences/202_Spanish.bin	11928
gametext/Sequences/203_English.bin	3860
gametext/Sequences/203_French.bin	4232
gametext/Sequences/203_German.bin	4372
gametext/Sequences/203_Italian.bin	3520
gametext/Sequences/203_Japanese.bin	19924
gametext/Sequences/203_Spanish.bin	6164
gametext/Sequences/20506_German.bin	14780
gametext/Sequences/20506_Italian.bin	8140
gametext/Sequences/20506_Spanish.bin	14732
gametext/Sequences/20508_German.bin	12336
gametext/Sequences/20508_Italian.bin	8004
gametext/Sequences/20508_Spanish.bin	12132
gametext/Sequences/20600_English.bin	5956
gametext/Sequences/20600_French.bin	6700
gametext/Sequences/20600_German.bin	6356
gametext/Sequences/20600_Italian.bin	5016
gametext/Sequences/20600_Japanese.bin	19836
gametext/Sequences/20600_Spanish.bin	5464
gametext/Sequences/20635_German.bin	4504
gametext/Sequences/20635_Italian.bin	4008
gametext/Sequences/20635_Spanish.bin	5920
gametext/Sequences/20661_German.bin	7888
gametext/Sequences/20661_Italian.bin	6916
gametext/Sequences/20661_Spanish.bin	7112
gametext/Sequences/20695_German.bin	2108
gametext/Sequences/20695_Italian.bin	1872
gametext/Sequences/20695_Spanish.bin	1936
gametext/Sequences/20696_German.bin	888
gametext/Sequences/20696_Italian.bin	1068
gametext/Sequences/20696_Spanish.bin	1236
gametext/Sequences/20700_English.bin	4652
gametext/Sequences/20700_French.bin	7556
gametext/Sequences/20700_German.bin	12208
gametext/Sequences/20700_Italian.bin	4924
gametext/Sequences/20700_Japanese.bin	25160
gametext/Sequences/20700_Spanish.bin	6636
gametext/Sequences/20863_French.bin	15016
gametext/Sequences/20863_German.bin	14956
gametext/Sequences/20863_Italian.bin	8480
gametext/Sequences/20863_Japanese.bin	34488
gametext/Sequences/20863_Spanish.bin	14852
gametext/Sequences/21151_German.bin	5112
gametext/Sequences/21151_Italian.bin	3784
gametext/Sequences/21151_Spanish.bin	5752
gametext/Sequences/21170_French.bin	3188
gametext/Sequences/21170_German.bin	3532
gametext/Sequences/21170_Italian.bin	2572
gametext/Sequences/21170_Spanish.bin	3016
gametext/Sequences/21181_German.bin	13272
gametext/Sequences/21181_Italian.bin	10956
gametext/Sequences/21181_Spanish.bin	13028
gametext/Sequences/21352_French.bin	1692
gametext/Sequences/21352_German.bin	1972
gametext/Sequences/21352_Italian.bin	1664
gametext/Sequences/21352_Spanish.bin	1216
gametext/Sequences/21_English.bin	5288
gametext/Sequences/21_French.bin	6192
gametext/Sequences/21_German.bin	6216
gametext/Sequences/21_Italian.bin	5140
gametext/Sequences/21_Japanese.bin	13544
gametext/Sequences/21_Spanish.bin	5612
gametext/Sequences/22_English.bin	3960
gametext/Sequences/22_French.bin	3828
gametext/Sequences/22_German.bin	4188
gametext/Sequences/22_Italian.bin	3844
gametext/Sequences/22_Japanese.bin	17680
gametext/Sequences/22_Spanish.bin	3568
gametext/Sequences/230_English.bin	7272
gametext/Sequences/230_French.bin	8100
gametext/Sequences/230_German.bin	12284
gametext/Sequences/230_Italian.bin	6416
gametext/Sequences/230_Japanese.bin	24812
gametext/Sequences/230_Spanish.bin	12024
gametext/Sequences/240_English.bin	4276
gametext/Sequences/240_French.bin	5848
gametext/Sequences/240_German.bin	4588
gametext/Sequences/240_Italian.bin	4068
gametext/Sequences/240_Japanese.bin	20252
gametext/Sequences/240_Spanish.bin	4528
gametext/Sequences/49_English.bin	1660
gametext/Sequences/49_French.bin	1836
gametext/Sequences/49_German.bin	1668
gametext/Sequences/49_Italian.bin	1840
gametext/Sequences/49_Japanese.bin	4228
gametext/Sequences/49_Spanish.bin	1908
gametext/Sequences/4_English.bin	988
gametext/Sequences/4_French.bin	992
gametext/Sequences/4_German.bin	1200
gametext/Sequences/4_Italian.bin	912
gametext/Sequences/4_Japanese.bin	648
gametext/Sequences/4_Spanish.bin	1136
gametext/Sequences/504_English.bin	3024
gametext/Sequences/504_French.bin	4712
gametext/Sequences/504_German.bin	4592
gametext/Sequences/504_Italian.bin	2500
gametext/Sequences/504_Japanese.bin	13380
gametext/Sequences/504_Spanish.bin	3204
gametext/Sequences/510_English.bin	3960
gametext/Sequences/510_French.bin	5936
gametext/Sequences/510_German.bin	4656
gametext/Sequences/510_Italian.bin	3724
gametext/Sequences/510_Japanese.bin	20180
gametext/Sequences/510_Spanish.bin	5600
gametext/Sequences/515_English.bin	4840
gametext/Sequences/515_French.bin	6668
gametext/Sequences/515_German.bin	5212
gametext/Sequences/515_Italian.bin	4952
gametext/Sequences/515_Japanese.bin	24368
gametext/Sequences/515_Spanish.bin	5236
gametext/Sequences/517_English.bin	7108
gametext/Sequences/517_French.bin	7060
gametext/Sequences/517_German.bin	11900
gametext/Sequences/517_Italian.bin	7148
gametext/Sequences/517_Japanese.bin	24464
gametext/Sequences/517_Spanish.bin	7284
gametext/Sequences/522_English.bin	3804
gametext/Sequences/522_French.bin	5136
gametext/Sequences/522_German.bin	4380
gametext/Sequences/522_Italian.bin	3500
gametext/Sequences/522_Japanese.bin	20000
gametext/Sequences/522_Spanish.bin	5508
gametext/Sequences/523_English.bin	6892
gametext/Sequences/523_French.bin	7144
gametext/Sequences/523_German.bin	11948
gametext/Sequences/523_Italian.bin	6968
gametext/Sequences/523_Japanese.bin	24784
gametext/Sequences/523_Spanish.bin	6736
gametext/Sequences/55_English.bin	3228
gametext/Sequences/55_French.bin	4068
gametext/Sequences/55_German.bin	3248
gametext/Sequences/55_Italian.bin	3260
gametext/Sequences/55_Japanese.bin	13440
gametext/Sequences/55_Spanish.bin	3848
gametext/Sequences/56_English.bin	2108
gametext/Sequences/56_French.bin	3016
gametext/Sequences/56_German.bin	2816
gametext/Sequences/56_Italian.bin	2124
gametext/Sequences/56_Japanese.bin	12544
gametext/Sequences/56_Spanish.bin	2192
gametext/Sequences/60_English.bin	2344
gametext/Sequences/60_French.bin	2016
gametext/Sequences/60_German.bin	2796
gametext/Sequences/60_Italian.bin	2340
